"id","foreign_key_id","source","qualification","eqf_level"
"1","331342","jobseeker","License for electric lifting forklift machine Clark","4"
"2","331342","jobseeker","High school diploma","4"
"3","331343","jobseeker","High school certificate","3"
"4","331343","jobseeker","Desired experience in a corresponding position","0"
"5","269407","careernet","Minimal 3 years of relative experience","0"
"6","269407","careernet","BSC in Accounting or Finance","6"
"7","269561","careernet","University degree in Accounting/Finance or related field","6"
"8","269561","careernet","3-4 years of experience in an accounting department, preferably in shipping","0"
"9","269562","careernet","University degree in Shipping","6"
"10","269562","careernet","5-10 years of individual experience in a shipping company","0"
"11","269563","careernet","University degree","6"
"12","269563","careernet","2-3 years of leisure working experience in the same position previously in shipping","0"
"13","269566","careernet","Frosio or NACE certification","4"
"14","269566","careernet","Experience in the marine industry","0"
"15","269568","careernet","Bachelor's Degree in Electrical Engineering or related field","6"
"16","269572","careernet","University degree in law or maritime field","6"
"17","269572","careernet","Min. 3 years experience in a similar position or as a trainee lawyer or paralegal","0"
"18","269574","careernet","3-5 years relevant experience in payroll","0"
"19","269575","careernet","Previous experience as a site manager","0"
"20","269575","careernet","Experience in newbuilding projects for bulkers and tankers","0"
"21","269576","careernet","Master or Chief Officer license","6"
"22","269576","careernet","At least 3 years' experience in a similar position","0"
"23","269577","careernet","Min 3 years of experience in AEG/TEI accounting","0"
"24","269578","careernet","Minimum 5 years experience in a similar position","0"
"25","269579","careernet","At least 8 years of experience as a Senior Purchasing Officer in shipping","0"
"26","269579","careernet","Bachelor’s Degree or relevant certification","6"
"27","269580","careernet","University degree","6"
"28","269580","careernet","Experience","0"
"29","269581","careernet","At least 7 years of experience","0"
"30","269732","careernet","Gymnasium or High School Diploma","4"
"31","269734","careernet","Sea service as senior officer or naval architect","0"
"32","269734","careernet","Degree in shipping or engineering","6"
"33","269734","careernet","Proven previous experience in the role (minimum 2 years)","0"
"34","269735","careernet","University degree specialized in HR Business Administration or related field","6"
"35","269736","careernet","3 years of office experience in SMS systems gap analysis","0"
"36","269736","careernet","3 years of office experience","0"
"37","269738","careernet","Professor in English language","7"
"38","269738","careernet","Masters / Chief Engineer experience","7"
"39","189997","careerjet","Bachelor's degree in Computer Science or related field","6"
"40","189997","careerjet","Minimum 2 years of experience in software development","0"
"41","189999","careerjet","Bachelor's degree in Computer Science or related field","6"
"42","189999","careerjet","Minimum 2 years of experience as a software engineer","0"
"43","190000","careerjet","Bachelor's degree in Computer Science or related field","6"
"44","190000","careerjet","2+ years of experience in software development","0"
"45","190001","careerjet","Bachelor's degree in Computer Science or related field","6"
"46","190001","careerjet","2+ years of experience in software development","0"
"47","190002","careerjet","Bachelor's degree in Computer Science or related field","6"
"48","190002","careerjet","Minimum 2 years of experience in software development","0"
"49","190003","careerjet","Bachelor's degree in Computer Science or related field","6"
"50","190003","careerjet","2+ years of experience in software development","0"
"51","190004","careerjet","Bachelor's degree in Computer Science or related field","6"
"52","190004","careerjet","Minimum 2 years of experience as a software engineer","0"
"53","190005","careerjet","Bachelor's degree in Computer Science or related field","6"
"54","190005","careerjet","2+ years of experience in software development","0"
"55","190007","careerjet","Driving licence holder (Class II)","2"
"56","190007","careerjet","3 years previous service in a similar position","0"
"57","190008","careerjet","Pre-service in a similar position in the industrial sector","0"
"58","190008","careerjet","Preferably a food and drink industry experience","0"
"59","190009","careerjet","Previous experience in sales position will be considered","0"
"60","190010","careerjet","TEI/ IEK studies","4"
"61","190010","careerjet","Work experience in a similar position","0"
"62","190011","careerjet","Driver's license holder","2"
"63","190011","careerjet","Previous experience in sales or a similar field","0"
"64","190011","careerjet","Technical direction considered an additional qualification","6"
"65","190011","careerjet","Fulfilled military obligations for male candidates","0"
"66","190012","careerjet","Previous experience in sales position will be considered","0"
"67","565090","jobfind","Driving qualifications","2"
"68","565090","jobfind","Degree in written communication","6"
"69","565090","jobfind","Degree in written communication","6"
"70","565091","jobfind","Diploma in written communication","4"
"71","565091","jobfind","Driving qualifications","2"
"72","565094","jobfind","At least 1 year's experience","0"
"73","565095","jobfind","Previous experience in cooking","0"
"74","565098","jobfind","Studies in higher education and training will be regarded as an asset.","5"
"75","565098","jobfind","Experience in a corresponding position is required.","0"
"76","565099","jobfind","Previous experience in 4- or 5-star hotels is required","0"
"77","565100","jobfind","Qualifications contact","0"
"78","565101","jobfind","Previous experience as a driver trainer or instructor","0"
"79","565103","jobfind","Unemployment card (in force for direct recruitment through the Thessaloniki resident program)","0"
"80","565103","jobfind","Professional equipment provided","0"
"81","565104","jobfind","Previous experience in hospitality industry","0"
"82","565106","jobfind","Pre-service in similar businesses desired","0"
"83","565106","jobfind","Minimum required educational level: High School Diploma","4"
"84","565107","jobfind","previous experience in a restaurant","0"
"85","565108","jobfind","Experience from work abroad or Greece","0"
"86","565109","jobfind","Experienced from work abroad or Greece","0"
"87","565110","jobfind","Pre-service necessary","3"
"88","565111","jobfind","Previous experience in a secretarial position or other relevant position (though not required)","0"
"89","565115","jobfind","Graduate school of bakery (optional)","5"
"90","565116","jobfind","Disposal for work pre-service as food production line manager","6"
"91","565116","jobfind","Fulfilled military obligations for men","0"
"92","565116","jobfind","Graduate school of food technology or bakery","5"
"93","565406","jobfind","University degree in Business or Finance","6"
"94","565406","jobfind","At least two years of experience in Business Analysis in the Banking sector","0"
"95","565407","jobfind","Pre-service in retail sales roles","2"
"96","565409","jobfind","previous experience","0"
"97","565410","jobfind","Holder of a driving license (second category)","2"
"98","565411","jobfind","Previous sales experience (3 years)","0"
"99","565411","jobfind","Minimum previous sales experience: 3 years","0"
"100","565411","jobfind","Degree: ECDL (or equivalent)","4"
"101","565412","jobfind","Previous experience in the field","0"
"102","565412","jobfind","Desirable past service","0"
"103","565414","jobfind","Previous experience in manufacturing or engineering","0"
"104","565414","jobfind","Working experience in a related field","0"
"105","565416","jobfind","Experience in the field of B.I.P. Sindu","0"
"106","565417","jobfind","Fulfilled military obligations (for men)","0"
"107","565420","jobfind","At least 2-3 years of experience in a corresponding location in a luxury restaurant or hotel","0"
"108","565420","jobfind","Pre-service at least 1-2 years in a corresponding position","0"
"109","565421","jobfind","Essential qualifications","3"
"110","565423","jobfind","Degree in Tourism or Cooking School","6"
"111","565423","jobfind","Previous service in a corresponding location in a luxury hotel (will be appreciated)","0"
"112","565424","jobfind","Pre-service in a role of sales or promotion of products will be assessed","3"
"113","565424","jobfind","At least 1 year experience","0"
"114","565426","jobfind","A minimum of three-year experience in 5 star hotels","0"
"115","565426","jobfind","Previous experience in a la carte and fine dining environment (desirable)","0"
"116","565435","jobfind","Pre-service in a corresponding position","0"
"117","565437","jobfind","Pre-service in a corresponding position of at least one year","0"
"118","565439","jobfind","At least two-year work experience in respective positions","0"
"119","565440","jobfind","Car license","2"
"120","565440","jobfind","Full-time jobs available","0"
"121","565441","jobfind","At least 3 years in sales","0"
"122","565441","jobfind","Drivers license","2"
"123","565442","jobfind","Health certificate","2"
"124","565443","jobfind","At least 5 years of construction experience in building projects","0"
"125","565444","jobfind","University/Bachelor's degree in Business Administration, Marketing or related field","6"
"126","565444","jobfind","Masters degree (asset)","7"
"127","565444","jobfind","2-3 years of related working experience in FMCG company and/or mass market channel","0"
"128","565447","jobfind","Corresponding experience to be estimated","0"
"129","565448","jobfind","Previous experience in retailing clothing","0"
"130","565449","jobfind","Desired experience in a corresponding position","0"
"131","565450","jobfind","Pre-service experience in retail sales roles","0"
"132","565451","jobfind","previous experience as a doctor/dermatologist","0"
"133","565454","jobfind","Amateur driver's license","2"
"134","565457","jobfind","Essential qualifications","0"
"135","565458","jobfind","Previous service in a corresponding position and/or industry","0"
"136","565458","jobfind","Holder of a degree in nursing, infantry or related specialties","6"
"137","565458","jobfind","Health certificate in force and/or possibility of issuing it","2"
"138","565460","jobfind","At least 3 years of experience in graphic design or related fields","0"
"139","565460","jobfind","Graduate degree in graphics or related fields","7"
"140","565465","jobfind","Desired experience in a corresponding position","0"
"141","565467","jobfind","At least 3 years in sales (B2B)","0"
"142","565467","jobfind","Drivers license","2"
"143","565468","jobfind","Pre-service in a corresponding position","0"
"144","565469","jobfind","Previous service in a corresponding sector will be assessed","0"
"145","565470","jobfind","Previous service in the corresponding sector","0"
"146","565470","jobfind","Full-time employment","0"
"147","565471","jobfind","Graduate Engineer at E.I.","6"
"148","565471","jobfind","Pre-service at least one year in an industry environment","0"
"149","565472","jobfind","Essential qualifications","2"
"150","565473","jobfind","H/ degree / driver's degree","3"
"151","565475","jobfind","High school certificate required","3"
"152","565475","jobfind","Service of at least one year consequence and responsibility","0"
"153","565478","jobfind","At least 2 years of experience","0"
"154","565478","jobfind","Diploma holder in respective sectors","5"
"155","565480","jobfind","Graduate School of Technology Direction","7"
"156","565480","jobfind","At least 2 years of experience in a corresponding position","0"
"157","565482","jobfind","3 years of experience in respective positions","0"
"158","565483","jobfind","At least 1 year experience","0"
"159","565484","jobfind","Economic direction studies or experience in a similar position","5"
"160","565484","jobfind","Experience in a similar position","0"
"161","565486","jobfind","Previous experience in machinery maintenance","0"
"162","565486","jobfind","Relevant qualifications or certifications","4"
"163","565487","jobfind","Necessary experience in retail sales required","0"
"164","565489","jobfind","Essential qualifications","2"
"165","565489","jobfind","Experience necessary","0"
"166","565491","jobfind","Previous experience in sales or promotion","0"
"167","565491","jobfind","At least 1 year of work experience","0"
"168","565493","jobfind","previous experience in cleaning and maintenance","0"
"169","565494","jobfind","Drivers license and available vehicle","0"
"170","565494","jobfind","Graduate in TEIA, Biology, Bioethics, Health Sciences or related subject","6"
"171","565496","jobfind","Satisfaction based on qualifications and experience","0"
