"id","foreign_key_id","source","required_skill","skill_esco","is_new_skill","skill_type","reuselevel"
"1","331342","jobseeker","Organizing skills","work in an organised manner","0","skill/competence","cross-sector"
"2","331342","jobseeker","Consistency and emphasis on the result","adjust solutions' consistency","0","skill/competence","cross-sector"
"3","331342","jobseeker","Group spirit and communication and cooperation skills","work as a team","0","skill/competence","cross-sector"
"4","331342","jobseeker","Experience in a corresponding position","perform occupation analyses","0","skill/competence","sector-specific"
"5","331343","jobseeker","Scanner handling for order preparation","operate scanner","0","skill/competence","sector-specific"
"6","331343","jobseeker","Organizational skills","work in an organised manner","0","skill/competence","cross-sector"
"7","331343","jobseeker","Consistency and responsibility","show responsibility","0","skill/competence","cross-sector"
"8","331343","jobseeker","Group spirit and communication and cooperation skills","work as a team","0","skill/competence","cross-sector"
"9","331344","jobseeker","Good knowledge of the center","attention to detail","0","knowledge","cross-sector"
"10","331344","jobseeker","Possession of a bicycle","property law","0","knowledge","cross-sector"
"11","269407","careernet","Fluency in English","english","0","knowledge","transversal"
"12","269407","careernet","Advanced PC usage","use ict hardware","0","skill/competence","sector-specific"
"13","269560","careernet","Good knowledge of accounting","accounting","0","knowledge","cross-sector"
"14","269560","careernet","Economic multi-tasking capacity","perform multiple tasks at the same time","0","skill/competence","cross-sector"
"15","269560","careernet","Good knowledge of calculators and modern components","use mathematical tools and equipment","0","skill/competence","transversal"
"16","269560","careernet","Good knowledge of English","english","0","knowledge","transversal"
"17","269560","careernet","Desiring principles","ethics","0","knowledge","cross-sector"
"18","269560","careernet","Knowledge of agricultural feature","agronomy","0","knowledge","cross-sector"
"19","269561","careernet","Knowledge of basic bookkeeping processes","accounting department processes","0","knowledge","sector-specific"
"20","269561","careernet","Excellent knowledge of the English language","english","0","knowledge","transversal"
"21","269561","careernet","Excellent knowledge of Microsoft Office tools","use microsoft office","0","skill/competence","cross-sector"
"22","269561","careernet","Knowledge of ERP software","manage standard enterprise resource planning system","0","skill/competence","sector-specific"
"23","269562","careernet","Excellent command of the English language (both oral and written)","communicate in english in a competent way","0","skill/competence","sector-specific"
"24","269562","careernet","Computer literacy","have computer literacy","0","skill/competence","cross-sector"
"25","269562","careernet","Strong analytical and organizational skills","enrich the key idea","0","skill/competence","sector-specific"
"26","269562","careernet","Attention to details","attention to detail","0","knowledge","cross-sector"
"27","269562","careernet","Team-player ability","work in teams","0","skill/competence","transversal"
"28","269563","careernet","Fluency in English","english","0","knowledge","transversal"
"29","269563","careernet","Excellent computing skills","have computer literacy","0","skill/competence","cross-sector"
"30","269563","careernet","Excellent communication and organizational skills","be attentive","0","skill/competence","occupation-specific"
"31","269566","careernet","Excellent command of English","communicate in english in a competent way","0","skill/competence","sector-specific"
"32","269566","careernet","Excellent command of Greek","write greek","0","skill/competence","transversal"
"33","269566","careernet","Computer knowledge","have computer literacy","0","skill/competence","cross-sector"
"34","269568","careernet","Electrical Engineering/Electronic/Mechanical Automation (AEI/TEI/EC/EPAL)","control engineering","0","knowledge","cross-sector"
"35","269568","careernet","Reading electrical designs","interpret electrical diagrams","0","skill/competence","cross-sector"
"36","269568","careernet","Maintenance and troubleshooting industrial equipment","maintain mechanical equipment","0","skill/competence","sector-specific"
"37","269568","careernet","Experience in maintenance and troubleshooting industrial equipment","maintain industrial equipment","0","skill/competence","cross-sector"
"38","269568","careernet","Ability to work in shifts","work in shifts","0","skill/competence","cross-sector"
"39","269568","careernet","Disposal for continuing education and development","dispose waste","0","skill/competence","cross-sector"
"40","269572","careernet","Fluent in English (verbal and written)","communicate in english in a competent way","0","skill/competence","sector-specific"
"41","269572","careernet","Computer literacy","have computer literacy","0","skill/competence","cross-sector"
"42","269574","careernet","Knowledge of insurance processes","review insurance process","0","skill/competence","sector-specific"
"43","269574","careernet","Excellent command of English","communicate in english in a competent way","0","skill/competence","sector-specific"
"44","269574","careernet","MS Excel","use spreadsheets software","0","skill/competence","transversal"
"45","269574","careernet","ERP (Danaos)","sap r3","0","knowledge","sector-specific"
"46","269574","careernet","Payroll experience with Greek flag vessels","operate ship equipment","0","skill/competence","cross-sector"
"47","269574","careernet","Relevant knowledge of insurance processes and Greek flag vessels","advise on maritime subjects","0","skill/competence","sector-specific"
"48","269576","careernet","Computer literacy for Office Suite and ERP","office software","0","knowledge","cross-sector"
"49","269576","careernet","Knowledge of TMSA SIRE 2.0","gather technical information","0","skill/competence","cross-sector"
"50","269576","careernet","Experience in tanker operations","provide expertise on tanker operations","0","skill/competence","occupation-specific"
"51","269576","careernet","Fluent English language (verbal and writing)","communicate in english in a competent way","0","skill/competence","sector-specific"
"52","269577","careernet","Accounting direction","accounting","0","knowledge","cross-sector"
"53","269578","careernet","Computer literacy","have computer literacy","0","skill/competence","cross-sector"
"54","269578","careernet","Very good command of the English language","english","0","knowledge","transversal"
"55","269578","careernet","Familiar with Law 89","interpret law","0","skill/competence","cross-sector"
"56","269578","careernet","Knowledge of benefit system platform (preferred)","evaluate benefit plans","0","skill/competence","occupation-specific"
"57","269579","careernet","Proficiency in English language","english","0","knowledge","transversal"
"58","269579","careernet","Analytical thinking","think analytically","0","skill/competence","cross-sector"
"59","269580","careernet","Excellent command of the English language","english","0","knowledge","transversal"
"60","269581","careernet","Fluency in English","english","0","knowledge","transversal"
"61","269581","careernet","Strong computer skills","have computer literacy","0","skill/competence","cross-sector"
"62","269581","careernet","ISM MLC background required","network marketing","0","knowledge","occupation-specific"
"63","269728","careernet","English level proficiency","english","0","knowledge","transversal"
"64","269728","careernet","Good computer knowledge","have computer literacy","0","skill/competence","cross-sector"
"65","269732","careernet","Consequence and responsibility","show responsibility","0","skill/competence","cross-sector"
"66","269732","careernet","Ability to work in shifts","work in shifts","0","skill/competence","cross-sector"
"67","269734","careernet","Experience with ISM/ISPS/MLC/rightship requirements","advise on consumer rights","0","skill/competence","sector-specific"
"68","269734","careernet","Experience with PSC/flag/vetting or other 3rd party aspects","manage security clearance","0","skill/competence","sector-specific"
"69","269735","careernet","Proficiency in English","english","0","knowledge","transversal"
"70","269735","careernet","Microsoft Office skills","office software","0","knowledge","cross-sector"
"71","269735","careernet","Excellent communication laboratory and organizational skills","promote organisational communication","0","skill/competence","cross-sector"
"72","269735","careernet","Strong knowledge of labor laws and HR best practices","protect employee rights","0","skill/competence","cross-sector"
"73","269736","careernet","TMSA Sire 2.0 and/or DryBMS RISQ awareness","communicate using the global maritime distress and safety system","0","skill/competence","cross-sector"
"74","269736","careernet","Sea service (nice to have)","shipping industry","0","knowledge","occupation-specific"
"75","269736","careernet","English language proficiency (oral and written)","english","0","knowledge","transversal"
"76","269736","careernet","PC literature","literature","0","knowledge","cross-sector"
"77","269736","careernet","Professor in English language (oral and written) as well as PC literature","teach writing","0","skill/competence","sector-specific"
"78","269738","careernet","Experience in hearing is essential","counsel patients on improving hearing","0","skill/competence","occupation-specific"
"79","189997","careerjet","Proficiency in Java or C++","c++","0","knowledge","sector-specific"
