"id","foreign_key_id","source","required_education_level","isced_level"
"1","331342","jobseeker","High School Diploma","3"
"2","331343","jobseeker","High School Certificate","3"
"3","331344","jobseeker",,
"4","269407","careernet","Bachelor's Degree","6"
"5","269560","careernet",,
"6","269561","careernet","Bachelor’s Degree","6"
"7","269562","careernet","Bachelor's Degree","6"
"8","269563","careernet","University degree","6"
"9","269566","careernet",,
"10","269568","careernet","Bachelor's Degree","6"
"11","269572","careernet","University Degree","6"
"12","269574","careernet",,
"13","269575","careernet",,
"14","269576","careernet","Master or Chief Officer license","7"
"15","269577","careernet",,
"16","269578","careernet",,
"17","269579","careernet","Bachelor’s Degree or relevant certification","6"
"18","269580","careernet","Bachelor's Degree","6"
"19","269581","careernet",,
"20","269728","careernet","Unknown","5"
"21","269732","careernet","High School Diploma","3"
"22","269734","careernet","Degree in shipping or engineering","6"
"23","269735","careernet","Bachelor’s Degree","6"
"24","269736","careernet",,
"25","269738","careernet",,
"26","189997","careerjet","Bachelor's Degree","6"
"27","189999","careerjet","Bachelor's Degree","6"
"28","190000","careerjet","Bachelor's Degree","6"
"29","190001","careerjet","Bachelor's Degree","6"
"30","190002","careerjet","Bachelor's Degree","6"
"31","190003","careerjet","Bachelor's Degree","6"
"32","190004","careerjet","Bachelor's Degree","6"
"33","190005","careerjet","Bachelor's Degree","6"
"34","190006","careerjet",,
"35","190007","careerjet",,
"36","190008","careerjet",,
"37","190009","careerjet",,
"38","190010","careerjet","High School Diploma or equivalent","3"
"39","190011","careerjet",,
"40","190012","careerjet",,
"41","190013","careerjet",,
"42","565090","jobfind","Degree in written communication","6"
"43","565091","jobfind",,
"44","565094","jobfind",,
"45","565095","jobfind",,
"46","565097","jobfind",,
"47","565098","jobfind","Higher Education","6"
"48","565099","jobfind",,
"49","565100","jobfind",,
"50","565101","jobfind",,
"51","565103","jobfind",,
"52","565104","jobfind",,
"53","565105","jobfind",,
"54","565106","jobfind","High School Diploma","3"
"55","565107","jobfind",,
"56","565108","jobfind",,
"57","565109","jobfind",,
"58","565110","jobfind",,
"59","565111","jobfind",,
"60","565115","jobfind","High School Diploma or equivalent","3"
"61","565116","jobfind","Graduate school of food technology or bakery","6"
"62","565405","jobfind",,
"63","565406","jobfind","Bachelor's Degree","6"
"64","565407","jobfind",,
