"id","foreign_key_id","source","industry_category","class_id","industry_nace"
"1","331342","jobseeker","Dairy company","46.33","Wholesale of dairy products, eggs and edible oils and fats"
"2","331343","jobseeker","Dairy company","46.33","Wholesale of dairy products, eggs and edible oils and fats"
"3","331344","jobseeker","Logistics/Delivery","53.2","Other postal and courier activities"
"4","269407","careernet","Shipping/Logistics","52.25","Logistics service activities"
"5","269560","careernet","Accounting and Finance","69.2","Accounting, bookkeeping and auditing activities; tax consultancy"
"6","269561","careernet","Shipping and Logistics","52.25","Logistics service activities"
"7","269562","careernet","Shipping and Logistics","52.25","Logistics service activities"
"8","269563","careernet","Shipping and Logistics","52.25","Logistics service activities"
"9","269566","careernet","Marine Industry","3.3","Support activities for fishing and aquaculture"
"10","269568","careernet","Industrial Manufacturing","28.97","Manufacture of additive manufacturing machinery"
"11","269572","careernet","Maritime Industry","52.22","Service activities incidental to water transportation"
"12","269574","careernet","Shipping/Transportation","53.2","Other postal and courier activities"
"13","269575","careernet","Maritime or Shipping Industry","52.26","Other support activities for transportation"
"14","269576","careernet","Maritime/Shipping","50.4","Inland freight water transport"
"15","269577","careernet","Maritime","50.3","Inland passenger water transport"
"16","269578","careernet","Shipping and Logistics","52.25","Logistics service activities"
"17","269579","careernet","Shipping and Logistics","52.25","Logistics service activities"
"18","269580","careernet","Shipping and Logistics","52.25","Logistics service activities"
"19","269581","careernet","Maritime Industry","52.22","Service activities incidental to water transportation"
"20","269728","careernet","Maritime Industry","52.22","Service activities incidental to water transportation"
"21","269732","careernet","Transportation or Logistics","52.25","Logistics service activities"
"22","269734","careernet","Maritime Transport","50.4","Inland freight water transport"
"23","269735","careernet","Human Resources","78.2","Temporary employment agency activities and other human resource provisions"
"24","269736","careernet","Maritime/HSEQ","50.3","Inland passenger water transport"
"25","269738","careernet",,,
"26","189997","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"27","189999","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"28","190000","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"29","190001","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"30","190002","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"31","190003","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"32","190004","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"33","190005","careerjet","Technology","26.2","Manufacture of computers and peripheral equipment"
"34","190006","careerjet","Fashion and Retail","46.45","Wholesale of perfume and cosmetics"
"35","190007","careerjet","Automotive Industry","29.1","Manufacture of motor vehicles"
"36","190008","careerjet","Food and Beverage","56.12","Mobile food service activities"
"37","190009","careerjet","Retail/Fashion","46.45","Wholesale of perfume and cosmetics"
"38","190010","careerjet","Retail/Fashion","46.45","Wholesale of perfume and cosmetics"
"39","190011","careerjet","Fastening Chemicals, Tools, Classification Systems","25.94","Manufacture of fasteners and screw machine products"
"40","190012","careerjet","Retail/Fashion/Sports","46.45","Wholesale of perfume and cosmetics"
"41","190013","careerjet","Food/Culinary Industry","56.11","Restaurant activities"
"42","565090","jobfind",,,
"43","565091","jobfind",,,
"44","565094","jobfind","Green sector","47.3","Retail sale of automotive fuel"
"45","565095","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"46","565097","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"47","565098","jobfind","Fashion Accessories","46.42","Wholesale of clothing and footwear"
"48","565099","jobfind","Hospitality or Tourism","79.9","Other reservation service and related activities"
"49","565100","jobfind","Food Service","56.11","Restaurant activities"
"50","565101","jobfind","Transportation/Driving Services","52.32","Intermediation service activities for passenger transportation"
"51","565103","jobfind","Digital Marketing","96.4","Intermediation service activities for personal services"
"52","565104","jobfind","Hospitality","55.1","Hotels and similar accommodation"
"53","565105","jobfind","Household Services","96.91","Provision of domestic personal service activities"
"54","565106","jobfind","Retail/Service Industry","74.99","All other professional, scientific and technical activities n.e.c."
"55","565107","jobfind","Food Service","56.11","Restaurant activities"
"56","565108","jobfind","Hospitality and Tourism","79.9","Other reservation service and related activities"
"57","565109","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"58","565110","jobfind","Food Service","56.11","Restaurant activities"
"59","565111","jobfind",,,
"60","565115","jobfind","Food Industry (Bakery)","56.22","Contract catering service activities and other food service activities"
"61","565116","jobfind","Food Industry","10.89","Manufacture of other food products n.e.c."
"62","565405","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"63","565406","jobfind","Consulting","74.99","All other professional, scientific and technical activities n.e.c."
"64","565407","jobfind","Color Production","20.12","Manufacture of dyes and pigments"
"65","565409","jobfind","Hospitality/Restaurant Industry","56.11","Restaurant activities"
"66","565410","jobfind","Agricultural Supplies","46.21","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
"67","565411","jobfind","Retail","46.42","Wholesale of clothing and footwear"
"68","565412","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"69","565413","jobfind","Gaming and Entertainment","58.21","Publishing of video games"
"70","565414","jobfind","Manufacturing or Engineering","28.97","Manufacture of additive manufacturing machinery"
"71","565416","jobfind",,,
"72","565417","jobfind","Food Processing or Manufacturing","10.89","Manufacture of other food products n.e.c."
"73","565419","jobfind",,,
"74","565420","jobfind","Hospitality and Tourism","79.9","Other reservation service and related activities"
"75","565421","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"76","565422","jobfind","Food Manufacturing","10.89","Manufacture of other food products n.e.c."
"77","565423","jobfind","Hospitality or Tourism","79.9","Other reservation service and related activities"
"78","565424","jobfind","Tobacco Industry","1.15","Growing of tobacco"
"79","565426","jobfind","Hospitality/Hotel Industry","79.9","Other reservation service and related activities"
"80","565430","jobfind","Manufacturing or Production","28.99","Manufacture of other special-purpose machinery n.e.c."
"81","565435","jobfind","Footwear and Fashion Retail","47.72","Retail sale of footwear and leather goods"
"82","565437","jobfind","Hospitality/Tourism","79.9","Other reservation service and related activities"
"83","565438","jobfind","Food and Beverage","56.12","Mobile food service activities"
"84","565439","jobfind","Hospitality and Tourism","79.9","Other reservation service and related activities"
"85","565440","jobfind","Retail/Transportation","47.81","Retail sale of motor vehicles"
"86","565441","jobfind","Pharmaceutical industry","21.2","Manufacture of pharmaceutical preparations"
"87","565442","jobfind","Food and Beverage","56.12","Mobile food service activities"
"88","565443","jobfind","Construction","41.0","Construction of residential and non-residential buildings"
"89","565444","jobfind","Pharmacy","47.73","Retail sale of pharmaceutical products"
"90","565445","jobfind",,,
"91","565447","jobfind","Accounting or Administrative Services","69.2","Accounting, bookkeeping and auditing activities; tax consultancy"
"92","565448","jobfind","Retail/Fashion","46.45","Wholesale of perfume and cosmetics"
"93","565449","jobfind","Entertainment","93.29","Amusement and recreation activities n.e.c."
"94","565450","jobfind","Color Production","20.12","Manufacture of dyes and pigments"
"95","565451","jobfind","Healthcare/Medical Services","86.1","Hospital activities"
"96","565453","jobfind","Food Service","56.11","Restaurant activities"
"97","565454","jobfind","Food Industry or Retail","47.22","Retail sale of meat and meat products"
"98","565457","jobfind","Hospitality and Food Service","56.11","Restaurant activities"
"99","565458","jobfind","Food Service/Hospitality and Healthcare","56.11","Restaurant activities"
"100","565460","jobfind","Textile/Fashion","14.22","Manufacture of underwear"
"101","565461","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"102","565463","jobfind","Tourism and Hospitality (Yachting Boat Rental)","79.9","Other reservation service and related activities"
"103","565464","jobfind",,,
"104","565465","jobfind",,,
"105","565466","jobfind","Logistics and Transportation","52.25","Logistics service activities"
"106","565467","jobfind","Pharmaceutical sector","21.2","Manufacture of pharmaceutical preparations"
"107","565468","jobfind","Retail","46.42","Wholesale of clothing and footwear"
"108","565469","jobfind","Wholesale Trade","46.46","Wholesale of pharmaceutical and medical goods"
"109","565470","jobfind","Retail and Wholesale Trade","46.46","Wholesale of pharmaceutical and medical goods"
"110","565471","jobfind","Food Production Processing","10.89","Manufacture of other food products n.e.c."
"111","565472","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"112","565473","jobfind","Tobacco industry","1.15","Growing of tobacco"
"113","565475","jobfind","Food Industry","10.89","Manufacture of other food products n.e.c."
"114","565477","jobfind",,,
"115","565478","jobfind","Building Materials and Sanitary Equipment","17.22","Manufacture of household and sanitary goods and of toilet requisites"
"116","565480","jobfind","Heavy Vehicles Machinery and Industrial Equipment","28.22","Manufacture of lifting and handling equipment"
"117","565482","jobfind","Hospitality/Restaurant Industry","56.11","Restaurant activities"
"118","565483","jobfind","Tobacco Industry","1.15","Growing of tobacco"
"119","565484","jobfind","Food Service/Hospitality","56.11","Restaurant activities"
"120","565486","jobfind","Textile or Manufacturing Industry","28.94","Manufacture of machinery for textile, apparel and leather production"
"121","565487","jobfind","Retailing","47.76","Retail sale of flowers, plants, fertilisers, pets and pet food"
"122","565489","jobfind","Construction","41.0","Construction of residential and non-residential buildings"
"123","565490","jobfind","Construction","41.0","Construction of residential and non-residential buildings"
"124","565491","jobfind","Tobacco Industry","1.15","Growing of tobacco"
"125","565493","jobfind","Hospitality","55.1","Hotels and similar accommodation"
"126","565494","jobfind","Pharmaceuticals/Healthcare","21.2","Manufacture of pharmaceutical preparations"
"127","565495","jobfind","Beauty and Cosmetics","96.22","Beauty care and other beauty treatment activities"
"128","565496","jobfind","Textile or Paint Industry","28.94","Manufacture of machinery for textile, apparel and leather production"
"129","565497","jobfind","Renewable Energy","35.12","Production of electricity from renewable sources"
"130","565498","jobfind","Food Manufacturing","10.89","Manufacture of other food products n.e.c."
"131","565499","jobfind","Food and Beverage","56.12","Mobile food service activities"
"132","565500","jobfind","Food Service/Restaurant Industry","56.11","Restaurant activities"
"133","565501","jobfind","Hospitality and Tourism","79.9","Other reservation service and related activities"
"134","565502","jobfind","Food Industry","10.89","Manufacture of other food products n.e.c."
"135","565503","jobfind","Retail","46.42","Wholesale of clothing and footwear"
